Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.7,29,17,1015.6,62,0,8.7,7.6,18,-, , , , 
2,23.3,28,18.4,1013.8,71,0,7.6,7.8,18,-, , , , 
3,24.2,29,20.1,1013.2,67,0,11.7,12.4,28.7,-, , , , 
4,23.8,28,20,1010.2,75,0,11.1,7.8,18,-, , , , 
5,22.9,25.5,21,1009,94,50.29,6.1,6.7,14.4,-,o, ,o, 
6,22.9,24,21.6,1008.6,95,10.16,4.2,4.6,10.7,-,o, , ,o
7,21.2,26.2,18.7,1009.4,92,9.4,3.5,10,25.2,-,o, , ,o
8,21.1,23.1,18.5,1008.1,83,0,6,6.7,10.7,-,o, , , 
9,22.2,24.5,18.7,1006.6,92,4.32,3.1,6.7,18,-,o, , ,o
10,19.1,22.2,17.3,1011.4,91,6.86,5,11.9,21.7,-,o, , ,o
11,21.1,24.2,17.2,1014.3,71,0,10.5,8.9,18,-, , , , 
12,21.9,25,18.9,1014.5,66,0,9.3,10.2,18,-, , , , 
13,21.2,26,18,1012.3,76,0.25,9.2,10.6,18,-,o, , , 
14,19.3,21,17.8,1012.3,85,0,4.8,9.6,18,-,o, , , 
15,20.1,22,17.8,1012.4,93,13.21,3.2,4.3,10.7,-,o, , ,o
16,23.8,27.2,19.1,1013.1,80,11.68,7.7,8.9,18,-, , , , 
17,23.9,27.1,21,1012,81,0,10.3,7.4,14.4,-, , , , 
18,26.4,31,20.9,1009.5,78,0,8.7,8.7,21.7,-, , , , 
19,26.6,31.2,22.6,1009.4,80,26.42,10,8.9,21.7,-,o, ,o, 
20,26.2,31,22.4,1011,82,0.25,9.5,9.1,18,-, , , ,o
21,27.5,32,22.8,1008.3,81,0,11.4,10.4,32.4,-, , , , 
22,26.8,29,24.7,1003.5,87,64.26,13.2,17.4,32.4,50.4,o, ,o, 
23,24.9,30,20.2,1003.4,72,17.27,14.5,12,18,-,o, , , 
24,23.7,28.3,19.7,1008.7,67,7.11,10.9,8.9,21.7,-, , , , 
25,25.8,29.5,19.7,1009.9,57,0,9.5,10,25.2,-, , , , 
26,26,30,19.6,1010.5,59,0,10.8,13.5,18,-,o, , , 
27,21.4,24.3,20.3,1011.5,94,13.72,3.5,11.5,28.7,-,o, , , 
28,23.1,25,20.3,1009.4,90,3.05,5.3,6.9,10.7,-,o, , , 
29,22.4,26,20,1008.1,90,5.08,6.4,11.5,18,-,o, , , 
30,21.6,23,19.9,1009,85,3.05,7.2,8.5,14.4,-,o, , , 
31,23.7,28,20.2,1009.8,68,2.79,8.2,10.6,21.7,-, , , , 
